local_png	cell	fp	q	stored_bytes	stored_encode_ms	stored_ssim2	stored_zensim	origin_id	variant_name	width	height
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s2	da3283310b32ad30	5	925	1060.099	-19.739735	4.167347	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s2	be3a64f006cd07aa	15	1194	1197.052	-1.110487	11.786966	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s2	52f1df4a97307b6a	30	2119	1779.901	33.836507	39.147297	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s2	5d111e4b7af2f456	50	4436	1729.386	62.279385	62.543777	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s2	c4ec826d2fb656fc	70	7910	2263.678	76.741515	73.045290	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s2	72062b4cc0db101e	85	15905	918.996	84.553980	83.305779	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s2	98738a2c02896816	95	37214	1092.198	92.488065	91.298325	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s4	59e9a808df7c8e8a	5	1060	571.223	-21.583630	0.479718	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s4	f90d48f228c684c0	15	1299	652.034	0.104664	12.189680	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s4	ba8d29289cb66a80	30	2195	831.418	30.727794	38.722528	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s4	b1e45ac1536d541c	50	4593	957.799	64.840201	63.878046	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s4	3e1331aed438c8ee	70	8283	1145.759	77.755093	74.773501	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s4	f61d00169b21b7e8	85	17068	587.909	85.784535	84.183677	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s4	e1974e4bc2185da0	95	38752	706.109	92.705704	91.415509	1016	o_1016.png.scale216x384	216	384
/mnt/v/output/clean-picker-corpus-2026-06-26/o_1016.png.scale216x384.png	s4-bd10	5f993060c3b255dd	5	1078	593.440	-20.617972	3.326097	1016	o_1016.png.scale216x384	216	384
